name,id,all_review_count
교항면옥,12951301,272
더족발 강릉점,1453674849,272
강릉가마솥설렁탕 1호점,1818364829,269
평지해장국,11860152,268
경포전주식당,19338559,267
소나무가든,1219260382,263
만동면옥,32185304,263
날밀보리뜰,35678301,262
일송손칼국수,1167544058,262
강문칼국수,1087147744,261
강릉참치,15310710,259
샤브향 강릉입암점,1310944050,259
얌샘김밥 강릉내곡점,1380888385,258
도야족발 포남점,1052597089,257
성산면옥,15349585,255
홍제동언덕길그집,1751324799,253
백제삼계탕,15290632,252
가누,1083519778,251
주문진행운식당,36623104,251
경포가든,12780466,251
솔밭추어탕,35743969,250
감천골,11859569,250
연곡면옥,15373710,248
얌샘김밥 주문진점,1947436708,247
모래시계 식당,15368476,246
사계절쌈밥보리밥,15302428,245
통큰왕손만두찐빵,32036410,243
전주식당,15371788,242
남애막국수,21563187,241
갱스터분식카페,1653794749,240
무국적식탁,1243193207,240
정동진관제탑해물탕,1358794961,240
버당말메기촌,15365261,239
강릉시니어클럽 한송정밥상,1993722803,239
북강릉진국설렁탕,1497296016,238
완선섭국,35123527,238
소반,33582588,238
육달 막국수,1333635362,238
삼첩분식 강릉점,1916677194,234
부영식당,15372694,234
이맛에온다 본점,1720905897,233
솔향,1991602969,233
바다로,1503238465,232
강릉역맛집 마키김밥 교동본점,1670442388,232
청년고기장수 강릉주문진점,1775815561,231
도스마스 강릉원주대점,36348268,230
별내리는산북,1360913554,230
푸짐이왕족발보쌈본점,1323935877,229
콩새장치찜,37636563,228
강릉코다리찜,34772784,227
복양춘,15353642,227
가마솥순대국밥 강릉교동점,1874772103,227
고양골추어탕,15382101,227
산전수전,15345849,226
뿅가곱창 강릉점,37253078,226
맛가득,1605560000,226
구정쌈밥,1124194019,224
국수나무 주문진점,1581548946,224
곱창미지수,1961675235,222
삼겹식당 강릉송정점,1547280580,221
오산조은참치 강릉입암점,1104583803,219
우미아이,1471649400,218
학산2리 마을부녀회,1969057580,217
낙지대장,38636188,216
미면소 강릉,1195200384,215
꼭지네식당,12038465,213
대동집 강릉 교동점,1278298701,213
오봉집 강릉점,1847740796,211
꺽다리아줌마해장국,13166281,211
꽃보다소,21382681,210
네스트커리,38215574,210
심곡 오미막국수,1832769863,209
신리면옥 주문진점,34268809,205
청주본가 강릉점,37470653,204
만양맛값,37059478,203
경포초당순두부식당,15695978,203
옹심이중국집,1147672088,202
못잊어집,15304990,201
명주뜰,1890450106,200
강릉남매삼계탕,15376107,200
명성옥,1639593114,200
국밥가,1846817040,200
용우동 유천점,1921109419,199
보리향기,1154907883,199
국수와파전,15380022,198
무진장 돼지순대국밥,1387895891,198
시나미왕갈비탕,1368387404,195
건강삼계탕,32185305,195
청수그린가든,15369843,192
구구족 강릉점,1485221897,191
부연동백숙,37779067,191
사계절탕수육,15333270,190
경포엄마손식당,1070849638,190
서지가마솥설렁탕전문점,1914381494,190
몽유,939233594,189
회산솔식당,36505019,189
송정불향쭈꾸미,1347619457,187
양지가마솥쌈밥,21669386,186
미자네밥포차,1320953209,186
본래순대 교동택지점,1053416085,185
스시생,1336883142,184
남강릉막국수,1796441724,182
흑진주,1951006286,182
기와집닭칼국수,1635128478,180
고향먹거리,1421217055,179
묘정,15293053,179
막창공장,36508533,177
초당다나정원,38414974,177
도전,35852302,176
바른치킨 강릉단오점,801470123,176
고향촌중화요리,11601760,176
황가네막국수냉면,1295036356,175
킹콩부대찌개 강릉옥천점,1386348221,173
진주식당,15298411,171
해녀직영횟집,12909533,170
고깃집,1236919265,169
도야족발 주문진점,1138422210,169
양마니명동찌개마을 입암점,1254874929,168
김가네식당,1545162347,168
유광회관1호점,127087250,167
굴다리돌솥밥,1285422816,166
송정가든,38571130,166
한성먹거리,1895569364,165
루사,1890343764,164
쌈채강릉점,13135583,164
푸짐한밥상푸짐한포차,15380240,162
임계메밀부치기,1515512501,162
명문,1613946855,162
구석,1376821892,162
금진 향토식당,1533958875,161
춘천명동닭갈비,15344509,161
바깥 강릉,1864892993,160
임호염소전문점,224093513,160
연곡이모네,15372688,159
김밥천국 서지골점,1507071331,159
조부자매운순대가 강릉점,1453215530,159
월화의 부엌,1130880606,159
강릉 본가족발,37360894,158
페리카나 도립대점,11799922,158
남문칼국수,15287905,158
배다리막국수,15351782,157
성남칼국수,19828562,157
납돌추어탕,1192593290,157
삼교리동치미막국수 강릉포남점,1440249555,156
연화 닭발과파전,1259569608,156
호수정 한정식 강릉본점,2064849699,155
경포막국수,1365555111,154
방학골추어탕,1243659687,153
사랑왕순대집,15354056,152
쌈촌 강릉점,15687560,151
국밥 참 맛있는 집 강릉유천점,1130433840,151
진영두부마을,35664675,150
보광가든,36677629,150
바닮참치&연어,1319180683,149
사천소머리국밥,15372123,149
회포차1박2일,1458958864,149
기사문,21830287,148
선우기사식당,1799014321,147
나린면옥,33556999,147
별들의고향,1503837624,145
귀자네순대국밥,1210141934,144
관동닭갈비,15378004,143
중국미도,1266569658,143
세미맛닭갈비,1661351403,143
병천황토방순대 교동점,12926106,142
동춘해물마을,15368538,141
스텔라떡볶이 강원강릉역점,1088145777,140
국수나루,1479747263,140
소금강맛집,1547353286,137
공원반점,1033772266,137
교동장칼국수,1587726258,136
수미골,15311728,136
청기와,11860452,136
국밥참맛있는집 강릉포남점,1287341137,135
빙고주막,15338842,135
옛길가든 화정,1646467642,134
송은닭내장,1476032545,134
등촌샤브칼국수 포남점,1720293609,134
학마을흑염소,1575681079,134
몽실네밥집,1522477742,133
성산옛집,13051175,133
초당순두부당,1681518999,132
잠수교수제갈비,1410871338,131
나온,1392543507,128
시나미83,1888786624,128
강릉모카번,1405926737,127
주문진호시,1463664286,126
이미정의걸작교동점,33886859,126
다연경포밥집,1853032344,125
회빈장,19782934,124
제왕산순대국밥,1661704740,124
미향이네삼수갑산,15318802,123
일미소문난생선구이,33732587,123
대관령원조감자탕,1872357150,122
