name,id,all_review_count
강릉 302미노,10054056,7
강릉 쉬어가는집펜션,10052935,7
강릉 욜로오션뷰스파펜션,10062033,7
강릉 파라다이스펜션,10064392,7
강릉 씨에스타펜션,10043199,7
강릉 별담가,10058163,7
강릉 영진한옥애풀빌라,10043772,7
강릉 더마운틴펜션,10052466,7
강릉 림펜션,10043752,7
강릉 포그니,10058459,7
강릉 부이풀빌라,10062527,7
강릉 밀라노펜션,10063505,7
강릉 하하스테이펜션,10046703,6
강릉 강문스테이,10061418,6
강릉 넘버25호텔 (강릉 경포점),10060831,6
강릉 안목다락,10064335,6
강릉 더시월독채펜션,10045242,6
강릉 나홀로민박펜션,10051791,6
강릉 경포대다락방펜션,1000113292,6
강릉 코미치바다펜션,10060626,6
강릉 산야천펜션,3003569,6
강릉 보이저펜션,10048903,6
강릉 헤이펜션,10061610,6
강릉 망상비치,10045740,6
MGM HOTEL,10061916,5
강릉 연인들의사랑이야기,10061958,5
강릉 삐꼴로까사,10058408,5
강릉 화이트엔펜션,10054601,5
강릉 두부맨션,10062475,5
강릉 낭만게스트하우스,10055844,5
강릉 하늘아래펜션,10062156,5
강릉 복사꽃정원,10064482,5
강릉 산장펜션,1000105728,5
강릉 우진황토펜션,1000109381,5
강릉 스테이인터뷰,10062414,5
강릉 스테이밋펜션,10053131,5
강릉 왕산골한옥펜션,3003547,5
강릉 하이오션618호,10058072,5
강릉 춘자여인숙펜션,10052560,5
강릉 하늬바람펜션,3018240,5
강릉 지소림한옥스테이,10063317,5
강릉 피어하우스독채풀빌라,10063181,5
강릉 이스트스테이,10065096,4
강릉 달빛천사풀빌라,10057197,4
강릉 야생화마을펜션,10060856,4
강릉 쉼,10060408,4
강릉 소금강시즌펜션,10064643,4
강릉 올스테이브,10065028,4
강릉 다케노모리글램핑&료칸,10065425,4
강릉 달을삼킨바다펜션,10047443,4
강릉 지아니펜션,10061981,4
강릉 코지하우스펜션,10044813,4
강릉(정동진) 블루마루,10061320,4
강릉 잔디하우스펜션,10048907,4
강릉 정명수펜션,3003420,4
강릉 메이플604,10059513,4
주문진글램핑오토캠핑장,10048897,4
강릉 학동 한옥스테이,10040006,4
강릉 온유펜션,10064532,4
강릉 프렌즈하우스,10048892,4
강릉 행복이가득한집펜션,10041484,4
강릉 현하우스펜션,10061919,3
강릉(주문진) 욜로,10046746,3
강릉 열시반펜션,10060041,3
강릉 한내펜션,3003412,3
강릉 쉴만한물가펜션,1000108377,3
강릉 삼형제봉길펜션,10058925,3
강릉 헤르만의정원in강릉,10058071,3
강릉 머물구자펜션,10056273,3
강릉 정감이간다,10060641,3
강릉 숲정원,10058070,3
강릉 저동하녹독채펜션,10061608,3
강릉 신나는펜션,1000110189,3
강릉 진스테이,10064423,3
강릉 스테이풀빌라,10064208,3
강릉 경포부티크소공,10062730,3
